first_name,last_name,date_of_birth,category,weight,competition
Bruce,Butler,08/05/1917,category 3,85,competition 2
Theresa,Alexander,10/08/1921,category 3,52,competition 2
Eugene,Bailey,06/01/1909,category 3,82,competition 3
Robert,Reynolds,08/24/1930,category 3,136,competition 1
Gerald,Rodriguez,10/08/1955,category 2,108,competition 3
Ralph,Evans,10/04/1954,category 3,64,competition 2
Beverly,Ramirez,10/18/1946,category 1,99,competition 2
Marilyn,Marshall,12/20/1957,category 3,60,competition 1
Charles,Garza,09/21/1944,category 2,104,competition 3
Henry,James,03/10/1974,category 2,145,competition 2
Christopher,Sims,06/30/1941,category 3,83,competition 3
Karen,Cunningham,08/22/1914,category 2,108,competition 3
Lawrence,Spencer,07/13/1996,category 1,140,competition 1
Kathryn,Hughes,07/13/1963,category 1,79,competition 3
Beverly,Palmer,01/14/1924,category 2,111,competition 2
William,Perkins,02/10/1917,category 3,122,competition 3
Shirley,George,11/20/1952,category 2,133,competition 3
Juan,Robertson,09/05/1930,category 3,77,competition 2
Nicholas,Jacobs,11/12/1909,category 2,127,competition 2
Bruce,Walker,11/07/1965,category 2,112,competition 3
Denise,Ortiz,08/18/1925,category 3,109,competition 3
Howard,Stephens,11/17/1948,category 3,114,competition 3
Roger,Bryant,07/11/1986,category 3,126,competition 3
Phillip,Collins,07/05/1944,category 2,71,competition 3
Henry,Gonzalez,12/01/1930,category 1,109,competition 3
Lois,Romero,01/22/1971,category 3,69,competition 3
Brenda,Shaw,10/03/1937,category 1,125,competition 2
Rose,Myers,12/27/1923,category 1,108,competition 2
Ruth,Lopez,04/08/1935,category 3,68,competition 2
Shawn,Gonzalez,04/01/1920,category 1,92,competition 3
Kelly,Black,04/21/1986,category 2,132,competition 2
Thomas,Myers,04/07/1956,category 3,113,competition 3
Kevin,Bryant,04/16/1986,category 1,144,competition 1
Wanda,Hudson,09/14/1955,category 3,98,competition 2
Rachel,Watkins,09/04/1964,category 3,133,competition 1
Jean,Snyder,05/02/1936,category 1,124,competition 2
Robin,Stone,05/08/1982,category 1,85,competition 1
Bruce,Williamson,02/01/1905,category 3,56,competition 1
Janice,Wagner,05/12/1922,category 3,73,competition 2
Irene,Russell,02/15/1920,category 3,118,competition 3
Raymond,Diaz,07/06/1990,category 2,127,competition 2
Angela,Hamilton,03/14/1981,category 3,102,competition 3
Jose,Simpson,01/16/1920,category 2,101,competition 2
Roger,Garrett,03/06/1987,category 3,105,competition 1
Earl,Sanders,11/01/1961,category 1,61,competition 2
Thomas,Jordan,07/25/1992,category 3,139,competition 1
Gerald,Morgan,10/24/1965,category 3,142,competition 1
Joshua,Franklin,11/27/1936,category 1,69,competition 3
Bruce,Franklin,12/07/1925,category 1,109,competition 3
Benjamin,Hall,10/05/1909,category 1,108,competition 1
Brian,Gordon,09/26/1947,category 2,144,competition 2
Edward,Frazier,09/29/1938,category 2,58,competition 3
Gloria,Stephens,04/17/1955,category 3,145,competition 2
Robert,Lopez,07/25/1996,category 1,118,competition 3
Gloria,Ramos,04/06/1966,category 3,141,competition 3
Paula,Brooks,05/17/1964,category 3,51,competition 2
Steven,Lawrence,02/23/1969,category 3,94,competition 3
Emily,Garza,08/10/1961,category 3,101,competition 3
Martha,Cole,11/09/1927,category 1,149,competition 3
Gerald,Russell,04/19/1916,category 3,73,competition 3
Kevin,Matthews,08/27/1927,category 3,108,competition 1
Keith,Gilbert,01/18/1945,category 3,131,competition 3
Nancy,Gibson,10/18/1907,category 3,65,competition 3
Diana,Wallace,04/13/1985,category 2,126,competition 2
Kevin,Wright,08/22/1973,category 3,104,competition 3
Gloria,Wood,03/28/1987,category 1,149,competition 1
Willie,Morgan,11/17/1994,category 2,106,competition 3
Rebecca,Ward,06/03/1976,category 1,51,competition 2
Theresa,Fox,09/02/1903,category 3,57,competition 2
Susan,Sanders,11/26/1959,category 3,147,competition 2
David,Howard,07/27/1951,category 2,117,competition 3
Diana,Jones,09/30/1991,category 3,122,competition 3
Gloria,Andrews,09/08/1996,category 3,132,competition 3
Judith,Morales,11/08/1943,category 3,130,competition 2
Randy,Larson,12/01/1921,category 3,145,competition 1
Carol,Woods,08/17/1981,category 3,113,competition 1
Rebecca,Day,04/04/1980,category 3,50,competition 3
Cynthia,Meyer,05/11/1907,category 1,113,competition 3
Brian,Franklin,04/16/1950,category 3,144,competition 1
Michael,Holmes,07/29/1903,category 3,66,competition 3
Diana,Stanley,06/28/1934,category 1,119,competition 3
Robin,Morales,09/24/1937,category 3,85,competition 3
Wanda,Henry,10/14/1919,category 3,121,competition 3
Kenneth,Burke,06/09/1972,category 2,88,competition 3
Earl,Henry,02/17/1961,category 3,141,competition 1
Kathy,Davis,08/04/1986,category 1,76,competition 3
Robert,George,04/27/1906,category 3,140,competition 3
Julie,Miller,07/11/1903,category 1,129,competition 3
Emily,Williamson,11/27/1983,category 3,98,competition 3
Mary,Willis,03/24/1917,category 1,99,competition 1
Stephen,Bennett,10/10/1909,category 3,80,competition 3
Denise,Long,04/10/1998,category 2,106,competition 1
Victor,Fowler,04/23/1951,category 3,139,competition 2
Roy,Williamson,01/09/1946,category 2,70,competition 2
Tina,Banks,12/02/1977,category 3,98,competition 3
Nicole,Sanders,08/10/1979,category 3,99,competition 3
Melissa,Freeman,08/18/1990,category 3,149,competition 2
Arthur,Alexander,07/24/1966,category 2,147,competition 3
Julie,Peterson,01/22/1970,category 1,128,competition 3
Lori,Matthews,05/05/1910,category 3,137,competition 3
Jimmy,Ruiz,06/17/1920,category 2,86,competition 3
Carlos,Reynolds,03/30/1994,category 3,63,competition 2
Michelle,Wallace,07/20/1901,category 3,90,competition 3
Carl,Jones,07/24/1940,category 1,114,competition 3
Elizabeth,Andrews,12/04/1918,category 2,124,competition 1
Antonio,Austin,02/17/1940,category 3,108,competition 1
Diane,Barnes,05/14/1960,category 1,91,competition 3
Ruby,Gonzalez,07/29/1947,category 3,150,competition 3
Harold,Knight,03/07/1962,category 3,56,competition 1
Justin,Sullivan,11/03/1991,category 1,58,competition 1
Michael,Henderson,06/04/1974,category 3,131,competition 2
Paul,Russell,11/18/1920,category 1,140,competition 1
Alan,Armstrong,02/19/1979,category 1,64,competition 3
Marie,Thompson,03/19/1938,category 1,76,competition 3
Kimberly,Reed,07/27/1962,category 2,61,competition 1
Jane,Berry,05/23/1938,category 3,138,competition 3
Amy,Turner,10/09/1992,category 1,125,competition 3
James,Rose,02/14/1942,category 2,101,competition 3
Aaron,Duncan,10/20/1976,category 3,58,competition 3
Willie,Olson,05/13/1976,category 1,76,competition 1
Mark,Howard,02/08/1931,category 2,133,competition 1
Joe,Mcdonald,06/02/1971,category 2,144,competition 1
Daniel,Garrett,08/09/1962,category 3,94,competition 3
Nicholas,Mccoy,12/05/1982,category 2,94,competition 3
Henry,Hill,09/02/1956,category 3,98,competition 2
Annie,Hall,11/29/1905,category 3,104,competition 2
Jessica,Lewis,02/17/1985,category 3,52,competition 2
Bobby,Shaw,08/12/1951,category 2,67,competition 1
Mark,Howell,10/23/1969,category 1,76,competition 3
Carlos,Kim,04/15/1957,category 3,93,competition 2
Anne,Williams,03/03/1998,category 1,68,competition 2
Joshua,Brown,03/05/1909,category 3,110,competition 3
Emily,Rodriguez,10/03/1964,category 1,131,competition 3
Arthur,Hamilton,08/24/1914,category 3,100,competition 1
Brian,Mitchell,01/11/1998,category 2,122,competition 2
Adam,Ellis,11/25/1920,category 3,120,competition 3
Ruby,Walker,12/01/1928,category 1,65,competition 3
Joseph,Matthews,01/30/1995,category 2,106,competition 3
Marilyn,Stevens,07/21/1967,category 3,136,competition 1
Martha,Butler,05/26/1912,category 2,115,competition 1
Jacqueline,Cruz,05/20/1935,category 2,101,competition 3
Steven,Lee,02/06/1923,category 2,105,competition 1
Jeffrey,Gray,11/29/1959,category 2,67,competition 3
Lois,Fisher,05/21/1929,category 2,134,competition 2
Paul,Mcdonald,07/30/1949,category 2,134,competition 3
Ruby,Ryan,01/23/1929,category 2,87,competition 3
Tina,Austin,11/17/1953,category 1,50,competition 2
Diane,Holmes,10/19/1954,category 1,131,competition 3
Albert,Wagner,11/25/1968,category 3,96,competition 3
Nicole,Gonzalez,04/20/1940,category 2,119,competition 2
Frances,Anderson,10/18/1974,category 1,132,competition 1
Michelle,Stanley,08/25/1928,category 2,66,competition 3
Helen,Green,09/08/1930,category 1,146,competition 3
Joyce,Sanchez,11/02/1918,category 3,62,competition 2
Adam,Mcdonald,10/15/1963,category 3,80,competition 3
Frank,Flores,10/11/1940,category 1,63,competition 2
Dorothy,Hill,09/07/1951,category 3,62,competition 1
Maria,Brown,09/16/1933,category 3,135,competition 3
Jason,White,08/05/1915,category 3,118,competition 1
Ruth,Marshall,03/31/1970,category 3,100,competition 3
Harold,Shaw,06/13/1952,category 3,136,competition 3
Jimmy,Martinez,03/16/1920,category 3,146,competition 3
Stephen,Hanson,02/10/1987,category 1,66,competition 1
Margaret,Duncan,04/03/1987,category 3,110,competition 3
Clarence,Torres,09/21/1996,category 1,142,competition 3
Sean,Montgomery,08/08/1988,category 3,120,competition 3
Andrew,Franklin,08/28/1935,category 2,77,competition 3
Kathy,West,10/12/1978,category 3,128,competition 3
Martin,Wilson,02/13/1927,category 1,53,competition 1
Kenneth,Harper,06/12/1973,category 2,69,competition 3
Justin,Ramos,10/13/1911,category 3,101,competition 2
Dennis,Alvarez,12/04/1942,category 1,134,competition 2
Martha,Welch,02/06/1931,category 2,145,competition 1
Steve,James,11/10/1933,category 3,81,competition 3
Jimmy,Gibson,07/09/1929,category 3,148,competition 3
Howard,Evans,04/13/1963,category 3,119,competition 3
Eric,Sullivan,05/17/1907,category 3,101,competition 3
Eugene,Weaver,09/23/1932,category 1,145,competition 3
Bruce,Oliver,05/23/1908,category 2,97,competition 2
Dorothy,Medina,05/07/1952,category 3,109,competition 3
Alice,Brown,10/12/1956,category 3,65,competition 3
Earl,Hall,10/23/1923,category 1,142,competition 1
Harry,Garcia,03/20/1910,category 3,143,competition 2
Jacqueline,Long,07/20/1965,category 1,123,competition 3
Theresa,Jacobs,06/28/1953,category 3,123,competition 2
Brenda,Kennedy,10/24/1936,category 1,89,competition 3
Martin,Montgomery,01/14/1991,category 2,117,competition 1
Anne,Payne,02/04/1959,category 3,80,competition 1
Douglas,Harris,05/11/1921,category 2,70,competition 3
Amanda,Perkins,12/06/1908,category 3,136,competition 1
Rachel,Simpson,06/02/1976,category 2,113,competition 2
Teresa,Stanley,03/05/1907,category 3,51,competition 2
Robin,Vasquez,07/10/1956,category 3,77,competition 1
Kathryn,Perez,08/24/1911,category 2,129,competition 1
Samuel,Perry,07/18/1964,category 2,95,competition 3
Jessica,Chapman,05/09/1913,category 1,105,competition 1
Charles,Evans,10/14/1946,category 1,148,competition 2
Steve,Hicks,12/22/1960,category 1,148,competition 1
Ronald,Alexander,12/30/1918,category 1,99,competition 1
Janice,Perkins,06/07/1965,category 1,129,competition 3
Scott,Wells,01/08/1919,category 3,72,competition 2
Julia,Stephens,04/29/1966,category 3,68,competition 2
Sarah,Harper,06/19/1931,category 3,78,competition 3
Juan,Stewart,07/21/1945,category 3,96,competition 2
Emily,Welch,06/02/1959,category 3,50,competition 3
Brian,Mccoy,12/25/1943,category 3,127,competition 1
Joe,Lawrence,08/04/1920,category 2,58,competition 2
Ryan,Dunn,11/07/1936,category 3,51,competition 3
Phyllis,Gibson,03/20/1947,category 1,66,competition 3
Jesse,Martin,09/04/1902,category 2,126,competition 2
Thomas,Peterson,07/18/1948,category 2,100,competition 3
Bruce,Sanchez,03/20/1989,category 3,130,competition 3
Donna,Hart,09/15/1940,category 2,124,competition 1
Aaron,Grant,03/11/1940,category 2,67,competition 3
Laura,Kennedy,01/06/1979,category 3,77,competition 3
Sara,Gilbert,08/15/1928,category 2,143,competition 1
Lois,Harvey,10/28/1940,category 3,111,competition 3
Harold,George,05/12/1991,category 2,53,competition 2
Patricia,Marshall,06/10/1966,category 3,93,competition 2
Deborah,Olson,07/05/1986,category 1,112,competition 3
Timothy,Lawson,05/20/1938,category 2,103,competition 2
Stephanie,Woods,03/20/1948,category 3,100,competition 3
Stephen,Diaz,07/24/1985,category 2,138,competition 3
Jonathan,Nelson,10/24/1934,category 3,77,competition 3
Daniel,Garcia,09/21/1934,category 1,145,competition 2
Tina,Webb,03/24/1958,category 2,144,competition 1
Robin,Tucker,05/02/1906,category 1,52,competition 2
Patricia,Johnson,08/08/1901,category 2,135,competition 3
Antonio,Hansen,12/22/1920,category 3,80,competition 2
Alice,Robertson,10/02/1954,category 3,64,competition 3
Jean,Sullivan,07/01/1918,category 2,90,competition 3
Teresa,Wright,05/13/1989,category 3,139,competition 3
Randy,Reynolds,07/03/1916,category 1,131,competition 1
Sandra,Hayes,05/30/1953,category 1,145,competition 2
Terry,Harris,03/29/1930,category 3,133,competition 1
Frances,Murphy,05/22/1964,category 1,53,competition 3
Jesse,Hernandez,05/01/1980,category 3,133,competition 3
Eugene,Oliver,08/25/1944,category 2,141,competition 2
Amanda,Butler,06/10/1932,category 3,119,competition 3
Anthony,Hughes,11/09/1994,category 3,146,competition 3
Julia,Ryan,08/04/1985,category 1,89,competition 3
Carol,Rose,06/24/1925,category 3,133,competition 3
Carl,Morgan,09/19/1957,category 1,109,competition 3
Rachel,Diaz,05/08/1951,category 3,63,competition 2
Steven,Mills,04/28/1952,category 3,105,competition 3
Judy,Kim,04/08/1990,category 3,61,competition 3
Brandon,Wagner,02/02/1960,category 3,117,competition 3
Arthur,Hall,10/12/1985,category 3,142,competition 1
Brandon,Diaz,08/17/1972,category 2,139,competition 3
Joyce,Little,03/17/1911,category 2,89,competition 3
Carolyn,Harper,02/27/1972,category 2,98,competition 1
Scott,Mason,06/16/1985,category 1,150,competition 3
Clarence,Ellis,10/08/1920,category 2,58,competition 1
Roy,Hanson,05/09/1901,category 1,90,competition 2
Joshua,Patterson,04/06/1969,category 3,79,competition 3
Brandon,Cole,10/26/1936,category 3,74,competition 1
Lawrence,James,03/27/1937,category 1,108,competition 1
Johnny,Shaw,09/28/1905,category 3,64,competition 2
Earl,Watson,11/10/1953,category 2,119,competition 3
Joyce,Fox,09/20/1903,category 2,116,competition 3
Peter,Lopez,10/01/1962,category 1,97,competition 3
Gloria,Crawford,08/24/1966,category 3,63,competition 1
Joyce,Carr,08/18/1929,category 2,99,competition 1
Brenda,Woods,01/12/1948,category 3,89,competition 3
Lisa,Arnold,11/29/1930,category 2,107,competition 2
Jane,Nichols,03/23/1911,category 1,131,competition 1
Maria,Jenkins,03/14/1995,category 3,144,competition 3
Karen,Hunt,05/16/1909,category 2,118,competition 3
Amy,Russell,10/20/1915,category 1,109,competition 1
Adam,Hunt,01/14/1973,category 3,119,competition 2
Andrew,Howell,04/10/1922,category 1,103,competition 3
Beverly,Howard,05/19/1979,category 3,56,competition 3
Benjamin,Thompson,06/11/1908,category 2,105,competition 2
Louis,Medina,02/25/1988,category 3,140,competition 1
Charles,Long,02/25/1959,category 3,104,competition 3
Lois,Price,05/15/1975,category 3,82,competition 3
Linda,Washington,05/29/1914,category 1,134,competition 3
Russell,Ryan,08/12/1956,category 1,110,competition 3
Heather,Simpson,12/15/1953,category 3,103,competition 3
Brenda,Meyer,04/20/1949,category 3,136,competition 3
Amy,Lynch,08/30/1945,category 2,58,competition 1
Julia,Long,03/05/1948,category 3,95,competition 3
Frank,Kim,12/25/1916,category 2,133,competition 1
Stephanie,Murphy,11/14/1972,category 1,91,competition 3
Stephanie,George,11/08/1923,category 1,103,competition 2
Laura,Griffin,09/23/1984,category 2,136,competition 3
Adam,Tucker,04/29/1991,category 2,111,competition 3
Brenda,Daniels,03/06/1978,category 3,53,competition 3
Janet,Griffin,11/26/1910,category 3,102,competition 3
Harold,Ramirez,01/06/1963,category 2,65,competition 3
Jose,Sims,07/18/1934,category 1,56,competition 3
Dennis,Woods,11/29/1957,category 2,103,competition 1
Tina,Watkins,12/21/1975,category 3,137,competition 1
Dorothy,Hanson,03/07/1996,category 1,129,competition 3
Lillian,Hall,09/13/1997,category 3,143,competition 1
Rebecca,Oliver,10/22/1965,category 2,142,competition 2
Brian,Thomas,11/03/1913,category 2,118,competition 2
Pamela,Harper,06/25/1946,category 2,150,competition 3
Andrew,Grant,06/21/1972,category 3,121,competition 1
Ryan,Walker,06/07/1995,category 2,60,competition 1
Melissa,Perry,06/15/1990,category 1,52,competition 3
Timothy,Freeman,06/09/1964,category 3,129,competition 3
Eric,Ruiz,01/02/1968,category 1,117,competition 3
Lori,Snyder,01/23/1990,category 2,82,competition 3
Carlos,Mitchell,05/06/1914,category 3,140,competition 3
Joshua,Hayes,07/08/1947,category 3,81,competition 1
Robert,White,02/04/1917,category 3,63,competition 3
Arthur,Daniels,08/30/1985,category 3,145,competition 1
Sarah,Jenkins,12/27/1907,category 3,112,competition 3
Victor,Phillips,01/18/1937,category 1,77,competition 3
Jennifer,Rivera,01/17/1940,category 1,144,competition 3
Jesse,Willis,05/13/1947,category 2,52,competition 1
Alan,Jenkins,12/15/1968,category 3,85,competition 3
Michael,Ray,04/09/1949,category 2,112,competition 3
Katherine,Matthews,10/28/1942,category 2,109,competition 2
Ernest,Hanson,01/24/1974,category 2,115,competition 1
Judy,Williams,08/29/1908,category 1,52,competition 1
Carol,Johnson,08/15/1918,category 3,133,competition 3
Gloria,Bennett,08/04/1991,category 3,131,competition 3
Roger,Washington,12/30/1975,category 1,103,competition 2
Steve,Powell,02/13/1959,category 3,59,competition 2
Nicole,Matthews,07/12/1973,category 2,95,competition 3
Keith,Harris,12/03/1959,category 3,104,competition 3
Brandon,Baker,03/27/1967,category 3,91,competition 1
Deborah,Elliott,07/07/1923,category 2,110,competition 3
Dennis,Gardner,08/05/1995,category 3,142,competition 1
Martha,Howard,02/26/1955,category 3,100,competition 2
Nancy,West,08/29/1976,category 3,139,competition 1
Aaron,Diaz,01/14/1953,category 3,144,competition 3
Melissa,Woods,06/06/1968,category 1,80,competition 3
Andrea,Burke,09/20/1933,category 1,119,competition 3
Deborah,Carroll,09/12/1948,category 3,130,competition 3
Harry,Johnston,05/02/1983,category 3,134,competition 3
Raymond,Montgomery,10/09/1976,category 2,81,competition 2
Jane,Butler,06/12/1929,category 3,110,competition 1
Christina,Bryant,12/20/1951,category 3,133,competition 2
Brandon,Nelson,07/19/1965,category 2,79,competition 3
Aaron,Alexander,06/05/1934,category 3,74,competition 3
Fred,Arnold,05/01/1949,category 3,70,competition 3
Phyllis,Evans,01/30/1939,category 2,143,competition 2
Joshua,Thompson,11/17/1997,category 1,137,competition 3
Ryan,Butler,06/12/1979,category 3,57,competition 3
Bobby,Long,09/13/1945,category 1,93,competition 3
Janet,Johnston,01/26/1993,category 2,147,competition 1
Kelly,Mitchell,02/15/1934,category 2,69,competition 3
Diana,Hart,02/08/1949,category 2,143,competition 3
Michelle,Hall,09/27/1942,category 3,54,competition 3
Debra,Gray,12/17/1973,category 3,74,competition 2
Jeremy,Wallace,12/21/1960,category 3,62,competition 2
Bobby,Arnold,07/28/1933,category 1,110,competition 3
Mark,Ortiz,07/03/1976,category 2,116,competition 2
Randy,Williamson,08/18/1988,category 3,86,competition 1
Billy,Hall,03/05/1987,category 1,71,competition 2
Patricia,Williamson,03/14/1945,category 2,58,competition 3
Jose,Wheeler,08/18/1941,category 2,69,competition 3
Johnny,Hawkins,06/19/1957,category 3,137,competition 1
Daniel,Cunningham,03/05/1976,category 3,132,competition 3
Johnny,Shaw,01/08/1916,category 3,129,competition 3
Joe,Stanley,08/30/1982,category 3,66,competition 1
Diane,Walker,05/03/1983,category 2,112,competition 3
Marilyn,Fields,04/05/1926,category 3,126,competition 1
Joseph,Schmidt,03/07/1962,category 1,128,competition 3
Lois,Bell,11/04/1930,category 2,94,competition 3
Eric,Garza,03/05/1997,category 3,83,competition 1
Sarah,Carpenter,09/15/1942,category 3,76,competition 2
Arthur,West,08/12/1905,category 3,115,competition 3
Ann,Porter,05/01/1942,category 1,120,competition 3
Theresa,Ray,06/15/1954,category 3,80,competition 3
Judith,Taylor,03/13/1929,category 3,142,competition 3
Kenneth,Rogers,09/24/1905,category 1,141,competition 2
Joshua,Warren,09/23/1913,category 3,134,competition 3
Jesse,Tucker,10/16/1968,category 1,134,competition 3
Samuel,Fernandez,03/30/1960,category 3,105,competition 1
Theresa,Miller,09/20/1998,category 2,139,competition 3
Paul,Torres,10/27/1981,category 3,84,competition 3
Marilyn,Hudson,06/28/1991,category 2,106,competition 1
Antonio,Ruiz,09/21/1947,category 1,95,competition 3
Michelle,Simpson,07/30/1944,category 1,91,competition 2
Andrea,Moore,01/28/1927,category 3,86,competition 1
Amy,Dixon,08/21/1968,category 2,112,competition 3
Donald,Ferguson,06/17/1943,category 1,123,competition 3
Maria,Jacobs,03/22/1935,category 2,141,competition 3
Sara,Rodriguez,08/12/1940,category 3,109,competition 3
Sara,Davis,04/22/1932,category 3,51,competition 2
Tina,Hamilton,04/09/1923,category 1,135,competition 3
Shirley,Wells,06/20/1967,category 2,100,competition 3
George,Moore,08/07/1979,category 2,53,competition 3
Steve,Gibson,04/17/1939,category 1,68,competition 1
Brandon,Hanson,10/03/1906,category 2,141,competition 1
Roy,Perkins,11/06/1962,category 3,70,competition 3
Jerry,Perez,05/08/1902,category 2,111,competition 3
Carlos,Franklin,10/12/1911,category 3,123,competition 3
Jason,Gray,05/02/1992,category 3,120,competition 3
Susan,Cook,11/02/1936,category 3,75,competition 1
Chris,Martin,03/24/1935,category 3,95,competition 3
Larry,Reyes,02/27/1956,category 3,71,competition 3
Jerry,Carroll,01/23/1918,category 1,124,competition 3
David,Cunningham,03/31/1946,category 3,123,competition 2
Judy,Chavez,02/20/1996,category 3,86,competition 3
Laura,Alvarez,01/17/1953,category 3,107,competition 3
Donna,Ruiz,06/18/1927,category 3,131,competition 1
Julia,Cooper,03/07/1976,category 1,142,competition 3
Emily,Jackson,07/26/1973,category 1,115,competition 3
Andrea,Harvey,09/24/1975,category 3,61,competition 3
Bonnie,Knight,12/10/1986,category 1,102,competition 3
Betty,Hernandez,01/04/1946,category 2,130,competition 3
Carol,Taylor,04/16/1953,category 2,144,competition 3
Carol,Lopez,10/02/1998,category 3,74,competition 2
Jimmy,Morris,05/11/1990,category 3,93,competition 1
Philip,Alvarez,10/03/1989,category 1,124,competition 2
Paula,Mason,10/22/1937,category 1,89,competition 1
Julia,Richards,03/08/1925,category 2,137,competition 3
Raymond,Andrews,08/19/1924,category 3,87,competition 1
Irene,Gilbert,06/24/1923,category 3,71,competition 3
Lois,Webb,04/16/1931,category 3,50,competition 3
Sara,Freeman,05/15/1959,category 2,103,competition 1
Kathryn,Harvey,11/01/1948,category 3,61,competition 3
John,West,07/19/1954,category 3,59,competition 3
Gary,Jordan,11/27/1947,category 3,64,competition 3
Albert,Collins,04/05/1970,category 3,70,competition 3
Jane,Watson,07/24/1964,category 3,125,competition 2
Stephen,Hudson,06/14/1907,category 2,56,competition 1
Joyce,Hicks,01/03/1986,category 3,74,competition 3
Cynthia,Cox,12/14/1918,category 3,134,competition 3
Melissa,Simpson,03/11/1983,category 3,71,competition 2
Edward,Griffin,08/30/1932,category 3,54,competition 2
Kelly,Bennett,09/13/1942,category 3,77,competition 1
Linda,White,04/27/1988,category 3,126,competition 3
Juan,Cole,04/19/1947,category 3,140,competition 3
Irene,Palmer,10/27/1991,category 2,103,competition 3
Christina,Mccoy,09/16/1946,category 1,82,competition 3
Daniel,Barnes,01/01/1988,category 1,109,competition 2
Karen,Little,02/10/1983,category 1,89,competition 3
Annie,Nguyen,02/02/1941,category 2,81,competition 3
Scott,Watkins,07/29/1909,category 1,127,competition 2
Amanda,Matthews,03/12/1980,category 1,86,competition 2
Wanda,Woods,02/03/1988,category 1,128,competition 1
Frank,Webb,08/03/1956,category 1,100,competition 3
Catherine,Owens,05/31/1991,category 1,114,competition 2
Ruth,Johnson,07/10/1970,category 2,60,competition 2
Linda,Kim,03/11/1987,category 1,67,competition 1
Kathy,Bailey,08/11/1944,category 2,95,competition 3
Martin,Olson,12/16/1915,category 3,110,competition 3
Wayne,Black,08/03/1926,category 2,148,competition 3
Charles,Matthews,05/01/1975,category 3,135,competition 1
Rose,Morales,10/08/1964,category 1,111,competition 1
Aaron,Martinez,12/05/1928,category 3,107,competition 2
Willie,Morrison,09/25/1997,category 2,113,competition 3
Larry,Hunter,09/03/1936,category 3,70,competition 3
Carl,Kennedy,08/24/1990,category 1,94,competition 3
Jane,Morales,06/27/1941,category 1,126,competition 3
Peter,Wagner,07/24/1917,category 1,53,competition 3
Aaron,Spencer,11/20/1985,category 3,58,competition 3
Jennifer,Gibson,02/19/1941,category 1,146,competition 2
Adam,Webb,06/24/1957,category 3,52,competition 3
Lisa,Wood,09/07/1994,category 3,126,competition 3
Stephen,Mccoy,06/24/1973,category 2,141,competition 1
John,Ruiz,08/18/1920,category 3,89,competition 2
Ryan,Simpson,07/11/1949,category 1,127,competition 1
James,Dunn,01/23/1961,category 3,98,competition 3
Heather,Oliver,06/14/1936,category 2,97,competition 1
Rachel,King,08/07/1989,category 1,71,competition 1
Eric,Reid,11/01/1987,category 1,71,competition 1
Heather,Harrison,10/18/1995,category 3,55,competition 3
Willie,Wallace,01/13/1905,category 1,135,competition 1
Brandon,Berry,04/11/1978,category 1,119,competition 2
Eugene,Gonzalez,11/10/1921,category 3,79,competition 2
Stephen,Romero,01/03/1930,category 1,146,competition 3
Frances,Cole,03/17/1932,category 1,140,competition 3
Jose,Fisher,01/17/1927,category 3,135,competition 2
Frances,Campbell,09/12/1936,category 1,135,competition 2
Alan,Robinson,10/21/1913,category 1,55,competition 2
Margaret,Franklin,12/03/1922,category 1,108,competition 3
Mark,Austin,06/24/1952,category 3,128,competition 3
Brian,Miller,09/01/1995,category 2,143,competition 3
James,Peterson,01/07/1945,category 3,148,competition 1
Christopher,Stewart,11/14/1974,category 3,69,competition 1
Mary,Hicks,10/27/1916,category 1,110,competition 1
Cheryl,Burke,01/27/1921,category 3,121,competition 3
Wanda,Rose,09/25/1989,category 1,108,competition 3
Theresa,Washington,06/07/1933,category 2,130,competition 1
Michael,Woods,12/25/1990,category 2,80,competition 2
Eugene,Hicks,08/30/1979,category 3,122,competition 2
Shirley,Ward,11/23/1921,category 3,136,competition 1
Kimberly,Bell,07/12/1909,category 3,74,competition 2
Teresa,Evans,07/21/1916,category 2,64,competition 2
Angela,Johnston,12/09/1932,category 3,50,competition 3
Frances,Long,06/04/1984,category 1,144,competition 3
